Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"О внесении изменений в единый перечень названий улиц городского округа Краснотурьинск, утвержденный постановлением Главы городского округа Краснотурьинск от 28.03.2007 № 304",проект,2024-08-01,2024-08-01,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5734,Постановление Главы (нормативное) _О внесении изменений в единый перечень названий улиц городского о.docx
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 15.06.2023 № 01-01/458 «Об утверждении порядка создания, содержания, охраны и вырубки зеленых насаждений на территории городского округа Краснотурьинск»",проект,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5735,"Постановление изменение в порядок создания, содержания, охраны и вырубки зеленых насаждений.docx"
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 07.02.2023 № 01-01/107 «Об утверждении мест, на которые запрещается возвращать животных без владельцев, отловленных с территории городского округа Краснотурьинск, и перечня лиц, уполномоченных на принятие решений о возврате животных без владельцев на прежние места обитания»",проект,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5736,Постановление изменения в места на которые запрещается возвращать животных без владельцев в части Саханенко.docx
О проведении традиционного ежегодного конкурса  молодых журналистов «Новая строка-2024»  памяти Ирины Павловны Степаново,01-01/578 ,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5737,№ 01-01-578 Новая строка.pdf
Об утверждении порядка установления особого противопожарного режима на территории городского округа Краснотурьинск,проект,2024-08-05,2024-08-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5738,
"О внесении изменений в постановление Главы городского округа Краснотурьинск от 16.07.2024 № 01-03/30 «Об антитеррористической комиссии в городском округе Краснотурьинск, расположенном  на территории Свердловской области»",01-03/33 ,2024-08-05,2024-08-05,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5739,№ 01-03-33.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 15.06.2023 № 01-01/458 «Об утверждении порядка создания, содержания, охраны и вырубки зеленых насаждений  на территории городского округа Краснотурьинск»",01-01/591,2024-08-07,2024-08-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5740,№ 01-01-591.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 07.02.2023 № 01-01/107 «Об утверждении мест,  на которые запрещается возвращать животных без владельцев, отловленных с территории городского округа Краснотурьинск, и перечня лиц, уполномоченных на принятие решений о возврате животных без владельцев на прежние места обитания»",01-01/592 ,2024-08-07,2024-08-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5741,№ 01-01-592.pdf
"О внесении изменений в единый перечень названий улиц городского округа Краснотурьинск, утвержденный постановлением Главы городского округа Краснотурьинск от 28.03.2007 № 304",01-03/34 ,2024-08-07,2024-08-07,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5742,№ 01-03-34.pdf
"О внесении изменений постановление Администрации городского округа Краснотурьинск от 12.05.2022 № 01-01/567 «Об утверждении административного регламента предоставления муниципальной услуги «Выдача акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства, осуществляемому с привлечением средств материнского (семейного) капитала»",проект,2024-08-09,2024-08-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5743,Постановление Администрации (нормативное) _ внесении изменений постановлен...дског.docx
