Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"Об утверждении плана основных мероприятий городского округа Краснотурьинск в области гражданской обороны, предупреждения и ликвидации чрезвычайных ситуаций, обеспечения пожарной безопасностии безопасности людей на водных объектах на 2021 год",проект,2021-02-25,2021-02-25,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3216,"Распоряжение Об утверждении плана основных мероприятий городского округа Краснотурьинск в области гражданской обороны, предупреждения и ликвидации чрезвычайных ситуаций, обес.docx"
О проведении в городском округе Краснотурьинск месячника защитника Отечества,127,2021-02-18,2021-02-18,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3215,№ 127.pdf
Об утверждении порядка установления и использования полос отвода автомобильных дорог местного значения на территории городского округа Краснотурьинск,проект,2021-02-24,2021-02-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3214,Порядок установления и использования полос отвода  29.01.2021.doc
О внесении изменений в  постановление Администрации городского округа Краснотурьинск от 29.09.2017 № 1130 «Об утверждении муниципальной программы «Формирование современной городской среды в городском округе Краснотурьинск на 2018-2024 годы»,проект,2021-02-24,2021-02-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3213,проект постановления ФКГС (итоги рейтингового голосования  2021) .docx
"Об утверждении порядка определения объема и предоставления из бюджета городского округа Краснотурьинск субсидий на финансовую поддержку социально ориентированных некоммерческих организаций, не являющихся государственными (муниципальными) учреждениями в городском округе Краснотурьинск в 2021 году",проект,2021-02-24,2021-02-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3212,Проект постановления.docx
Об участии во Всероссийском  конкурсе лучших проектов создания комфортной городской среды,124,2021-02-16,2021-02-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3211,№ 124.pdf
"О внесении изменений в муниципальную программу «Профилактика правонарушений, экстремизма и терроризма на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 08.02.2018 № 133",проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3210,Постановление по МП Профилактика правонарушений (решение Думы от 15.12.2020) .doc
Об утверждении порядка формирования и ведения сводного плана наземных и подземных коммуникаций и сооружений на территории городского округа Краснотурьинск,проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3209,Порядок формир сводного плана сетей.docx
"О внесении изменений в муниципальную программу «Развитие кадровой политики в системе муниципального управления городского округа Краснотурьинск и противодействие коррупции в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 29.12.2014 № 1922",проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3208,проект пост Адм.docx
"О внесении изменений в проект организации дорожного движения на улично-дорожной сети муниципального образования городской округ Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинск № 72 от 20.01.2015",проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3207,проект постановления Октябрьская-Молодежная.docx
"О внесении изменений в проект организации дорожного движения на улично-дорожной сети муниципального образования городской округ Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинск № 72 от 20.01.2015",проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3206,проект постановления Бульвар Мира.docx
О внесении изменений в постановление Администрации городского округа Краснотурьинск  № 1251 от 09.11.2018  «Об утверждении порядка проведения конкурсного отбора проектов инициативного бюджетирования и состава конкурсной комиссии на территории городского округа Краснотурьинск»,проект,2021-02-19,2021-02-19,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3205,проект постановления о внесении изменений в 1251 от 10.02.2021.doc
"О внесении изменений в проект организации дорожного движения на улично-дорожной сети муниципального образования городской округ Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинск № 72 от 20.01.2015",119,2021-02-15,2021-02-15,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3204,№ 119.pdf
"О внесении изменений в положение о проведении оценки регулирующего воздействия проектов муниципальных нормативных правовых актов городского округа Краснотурьинск и экспертизы муниципальных нормативных правовых актов городского округа Краснотурьинск, утвержденное постановлением Администрации городского округа Краснотурьинск от 17.07.2018 № 788",125,2021-02-16,2021-02-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3203,№ 125.pdf
О мероприятиях по предупреждению возникновения и распространения африканской чумы свиней на территории городского округа Краснотурьинск на 2021-2023 годы,123,2021-02-16,2021-02-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3202,№ 123.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 02.03.2020 № 170 «Об утверждении порядка расходования средств, поступивших из областного бюджета в форме субвенций бюджету городского округа Краснотурьинск на осуществление государственного полномочия Свердловской области в сфере организации мероприятий при осуществлении деятельности по обращению с животными без владельцев на 2020 год и плановый период 2021 и 2022 годов»",120,2021-02-15,2021-02-15,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3201,№ 120.pdf
О признании утратившими силу муниципальных правовых актов Главы городского округа Краснотурьинск,7,2021-02-15,2021-02-15,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3200,№ 7.pdf
"О размещении сведений о доходах, расходах, об имуществе и обязательствах имущественного характера на официальном сайте Администрации городского округа Краснотурьинск и предоставлении этих сведений общероссийским средствам массовой информации для опубликования",6,2021-02-15,2021-02-15,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3199,№ 6.pdf
О мерах по реализации решения Думы городского округа Краснотурьинск от 15.12.2020 № 322 «О бюджете городского округа Краснотурьинск на 2021 год и плановый период 2022 и 2023 годов»,8,2021-02-15,2021-02-15,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3198,№ 8.pdf
"О порядке предоставления  субсидий из бюджета городского округа Краснотурьинск юридическим лицам, индивидуальным предпринимателям, а также физическим лицам – производителям товаров, работ, услуг,  в целях возмещения недополученных доходов, связанных с предоставлением населению банных услуг на территории поселков городского округа Краснотурьинск",проект,2021-02-17,2021-02-17,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3197,Постановление о порядке предоставления субсидии на содержание бани на 2021 НОВЫЙ.docx
"О внесении изменений в реестр маршрутов регулярных перевозокна территории городского округа Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинскот 14.07.2016 № 731-1",проект,2021-02-17,2021-02-17,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3196,проект изм Реестр регулярных перевозок.docx
О временном ограничении движения автомобильного транспорта по улице Ленина между чётной и нечётной сторонами улицы Бульвар Мира,проект,2021-02-17,2021-02-17,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3195,Проводы Зимы.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Повышение эффективности управления муниципальной собственностью городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 09.04.2015 № 458",проект,2021-02-15,2021-02-15,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3194,ПРОЕКТ Внесение изм в програм Повыш эффект_02.02.2021.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Совершенствование социально-экономической политики на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 19.01.2015 № 63",106,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3193,№ 106.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие транспорта, дорожного хозяйства городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 28.04.2015 № 574",105,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3192,№ 105.pdf
О проведении общественных обсуждений по проекту межевания территории для линейного объекта «Трасса водопровода от Северопесчанского месторождения подземных вод до г. Краснотурьинска Свердловской области»,100,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3191,№ 100.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 16.09.2020 № 811 «Об утверждении проекта межевания территорий»,99,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3190,№ 99.pdf
О проведении в городском округе Краснотурьинск традиционного народного праздника «Проводы зимы,98,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3189,№ 98.pdf
"Об утверждении порядка расходования субвенций, поступившихиз областного бюджета бюджету городского округа Краснотурьинск, на осуществление переданного органам местного самоуправления государственного полномочия по созданию административных комиссий",93,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3188,№ 93.pdf
Об участии во Всероссийском  конкурсе лучших проектов создания комфортной городской среды,проект,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3187,Постановление об участиии в конкурсе.docx
О мероприятиях по предупреждению возникновения и распространения африканской чумы свиней на территории городского округа Краснотурьинск на 2021-2023 годы,проект,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3186,Постановление об Утверждении Плана АЧС на 2021-2023 ГО Краснотурьинск.docx
"О внесении изменений в положение о проведении оценки регулирующего воздействия проектов муниципальных нормативных правовых актов городского округа Краснотурьинск и экспертизы муниципальных нормативных правовых актов городского округа Краснотурьинск, утвержденное постановлением Администрации городского округа Краснотурьинск от 17.07.2018 № 788",проект,2021-02-10,2021-02-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3185,Проект постановления.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие системы образования в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 10.02.2015 № 202/1",80,2021-02-08,2021-02-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3184,№ 80.pdf
О снятии на территории городского округа Краснотурьинск режима функционирования «ПОВЫШЕННАЯ ГОТОВНОСТЬ»,5,2021-02-08,2021-02-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3183,№ 5.pdf
"Об утверждении проектной документации по строительству сетей газоснабжения в городском округе Краснотурьинск по улице  Маяковского, улице Медицины, улице Уральская, улице Школьная, улице Просвещения, улице Делегатская, улице Североуральская, улице Строительная, улице  Островского, улице Совхозная, улице Новая, улице Некрасова",91,2021-02-09,2021-02-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3182,№ 91.pdf
"Об утверждении показателя средней стоимости одного квадратного метра общей площади жилого помещения  для нового строительства на территории городского округа Краснотурьинск, на первый квартал 2021 года",82,2021-02-08,2021-02-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3181,№ 82.pdf
"О внесении изменений в  муниципальную программу «Реализация основных направлений муниципальной политики в строительном комплексе городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 30.09.2015 № 1218",81,2021-02-08,2021-02-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3180,№ 81.pdf
О создании рабочей группы для обследования помещений избирательных участков для проведения выборов депутатов Государственной Думы Федерального Собрания Российской Федерации VIII созыва и депутатов Законодательного собрания Свердловской области на территории городского округа Краснотурьинск,11-р,2021-02-05,2021-02-05,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3179,№ 11-р.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие жилищно-коммунального хозяйства и повышение энергетической эффективности в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 18.05.2015 № 628",79,2021-02-08,2021-02-08,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3178,№ 79.pdf
"Об утверждении перечня муниципального имуществагородского округа Краснотурьинск, предназначенного для предоставления во владение и (или) пользование социально ориентированным некоммерческим организациям",78,2021-02-04,2021-02-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3177,№ 78.pdf
"О размещении сведений о доходах, расходах, об имуществе и обязательствах имущественного характера на официальном сайте Администрации городского округа Краснотурьинск и предоставлении этих сведений общероссийским средствам массовой информации для опубликования",проект,2021-02-09,2021-02-09,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3176,проект пост Главы сведения.docx
О признании утратившими силу муниципальных правовых актов Главы городского округа Краснотурьинск,проект,2021-02-09,2021-02-09,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3175,"проект пост Главы МПА,.docx"
"О внесении изменений в проект организации дорожного движения на улично-дорожной сети муниципального образования городской округ Краснотурьинск, утвержденный постановлением Администрации городского округа Краснотурьинск № 72 от 20.01.2015",проект,2021-02-09,2021-02-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3174,проект постановления Ленина-Металлургов.docx
"О внесении изменений в муниципальную программу «Развитие физической культуры, спорта и молодежной политики в городском округе Краснотурьинск до 2024 года»Краснотурьинск от 19.02.2015 № 250",77,2021-02-04,2021-02-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3173,№ 77.pdf
О введении на территории городского округа Краснотурьинск режима функционирования «ПОВЫШЕННАЯ ГОТОВНОСТЬ»,4,2021-02-05,2021-02-05,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3172,№ 4.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие жилищно-коммунального хозяйства и повышение энергетической эффективности в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 18.05.2015 № 628",проект,2021-02-05,2021-02-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3171,внесение изменений ЖКХ январь 2021 .docx
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 22.01.2021 № 32 «О  введении особого противопожарного режима на территории городского округа Краснотурьинск»,72,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3170,№ 72.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Совершенствование социально-экономической политики на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 19.01.2015 № 63",проект,2021-02-04,2021-02-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3169,Проект.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие транспорта, дорожного хозяйства городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 28.04.2015 № 574",проект,2021-02-04,2021-02-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3168,Проект1. Развитие транспорта.docx
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 24.07.2017 № 859 «О координационном комитете содействия занятости населения городского округа Краснотурьинск»,71,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3167,№ 71.pdf
"Об утверждении перечня мероприятий подпрограммы по энергосбережению и повышению энергетической эффективности муниципальной программы «Развитие жилищно-коммунального хозяйства и повышение энергетической эффективности в городском округе Краснотурьинск до 2024 года», предлагаемых к осуществлению за счет средств субсидии из бюджета Свердловской области",20-р,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3166,№ 20-р.pdf
Об утверждении плана мероприятий городского округа Краснотурьинск по противодействию коррупции на 2021-2023 годы,10-р,2021-02-02,2021-02-02,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3165,№ 10-р.pdf
Об очистке кровель зданий (сооружений) от снега и ледяных наростов на территории городского округа Краснотурьинскв зимне-весеннем периоде 2021 года,76,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3164,№ 76.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 05.11.2020 № 942 «Об организации и проведении новогодних мероприятий»,66,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3163,№ 66.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 05.11.2020 № 942 «Об организации и проведении новогодних мероприятий»,проект,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3162,№ 66.pdf
"О внесении изменений в  муниципальную программу «Реализация основных направлений муниципальной политики в строительном комплексе городского округа Краснотурьинск до 2024 года»,  утвержденную постановлением Администрации городского округа Краснотурьинск от 30.09.2015 № 1218",проект,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3161,Постановление (Мун. пр на 2020 г.) реш.думы 322 от 15.12.2020  (ред).doc
"Об утверждении показателя средней стоимости одного квадратного метра общей площади жилого помещения  для нового строительства на территории  городского округа Краснотурьинск, на первый квартал 2021 года",проект,2021-02-02,2021-02-02,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3160,проект постановления стоимость строительства 1 квартал 2021.docx
"О внесении изменений в муниципальную программу «Развитие кадровой политики в системе муниципального управления городского округа Краснотурьинск и противодействие коррупции в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 29.12.2014 № 1922",63,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3159,№ 63.pdf
"О внесении изменений в муниципальную программу «Развитие агропромышленного комплекса и потребительского рынка городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 25.12.2019 № 1301",64,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3158,№ 64.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие культуры на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 30.12.2014 № 1923",65,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3157,№ 65.pdf
"О некоторых вопросах организации представления сведений о доходах, расходах, об имуществе и обязательствах имущественного характера",3,2021-02-01,2021-02-01,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3156,№ 3.pdf
О повышении минимального размера заработной платы работникам муниципальных учреждений городского округа Краснотурьинск,2,2021-02-01,2021-02-01,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,3155,№ 2.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие системы образования в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 10.02.2015 № 202/1",проект,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3154,муниц прогр от 19.01.2021.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие системы образования в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 10.02.2015 № 202/1",проект,2021-02-01,2021-02-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3153,
"О мерах по подготовке к пропуску весеннего половодья,дождевых паводков в 2021 году",58,2021-01-27,2021-01-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3152,№ 58.pdf
"Об утверждении предельной стоимости  доставки топлива печного бытового (дров лиственных и хвойных пород), реализуемого гражданам, управляющим организациям, товариществам собственников жилья, жилищным, жилищно-строительным или иным специализированным  потребительским кооперативам, созданным в целях удовлетворения потребностей граждан в жилье на территории городского округа Краснотурьинск, в 2021 году",48,2021-01-27,2021-01-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3151,№ 48.pdf
Об утверждении административного регламента предоставления муниципальной услуги «Выдача специального разрешения на движение по автомобильным дорогам местного значения городского округа Краснотурьинск тяжеловесного и (или) крупногабаритного транспортного средства»,49,2021-01-27,2021-01-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3150,№ 49.pdf
Об утверждении  Устава муниципального казенного учреждения «Городской трамвай»,55,2021-01-27,2021-01-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3149,№ 55.pdf
"Об утверждении перечня муниципального имущества городского округа Краснотурьинск, предназначенного для предоставления во владение и (или) пользование социально ориентированным некоммерческим организациям",проект,2021-01-28,2021-01-28,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,3148,Об утверждении Перечня муниципального имущества для СОНКО.doc
