Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
Об оказании содействия военному комиссариату городов Краснотурьинск и Карпинск в организации и проведении осеннего призыва на военную службу граждан 1994 – 2006 годов рождения,01-01/612,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5756,№ 01-01-612.pdf
"О внесении изменений в положение о единовременном денежном вознаграждении спортсменам городского округа Краснотурьинск, достигшим высоких спортивных результатов, утвержденное постановлением Администрации городского округа Краснотурьинск от 16.07.2024 № 01-01/527",01-01/615,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5755,№ 01-01-615.pdf
"О внесении изменений постановление Администрации городского округа Краснотурьинск от 12.05.2022 № 01-01/567 «Об утверждении административного регламента предоставления муниципальной услуги «Выдача акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства, осуществляемому с привлечением средств материнского (семейного) капитала»",01-01/616,2024-08-16,2024-08-16,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5754,№ 01-01-616.pdf
"Об освобождении земельного участка, самовольно занятого  хозяйственными постройками",01-01/611 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5753,№ 01-01-611.pdf
О создании муниципального автономного учреждения дополнительного образования «Спортивная школа единоборств»,01-01/610 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5752,№ 01-01-610.pdf
"О внесении изменений в перечень муниципального имущества городского округа Краснотурьинск, свободного от прав третьих лиц (за исключением права хозяйственного ведения, права оперативного управления, а также имущественных прав субъектов малого и среднего предпринимательства), утвержденный постановлением Администрации городского округа Краснотурьинск от 22.04.2019 № 422",01-01/609 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5751,№ 01-01-609.pdf
"О внесении изменений в состав антитеррористической комиссии городского округа Краснотурьинск, расположенного на территории Свердловской области, утвержденный  постановлением Главы городского округа Краснотурьинск от 16.07.2024 № 01-03/30",01-03/36 ,2024-08-13,2024-08-13,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5750,№ 01-03-36.pdf
Об утверждении порядка установления особого противопожарного режима на территории городского округа Краснотурьинск,01-03/35 ,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5749,№ 01-03-35.pdf
"Об утверждении плана мероприятий месячника, посвященного празднованию Дня пенсионера в Свердловской области, Дня народов Среднего Урала на территории городского округа Краснотурьинск,                                    в августе-сентябре 2024 года",01-02/244-р ,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5748,№ 01-02-244-р.pdf
"О внесении изменений в положение о единовременном денежном вознаграждении спортсменам городского округа Краснотурьинск, достигшим высоких спортивных результатов, утвержденное постановлением Администрации городского округа Краснотурьинск от 16.07.2024 № 01-01/527",проект,2024-08-13,2024-08-13,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5747,Постановление Администрации (нормативное) _ внесении изменений в Положение...нежном.doc
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 16.12.2011 № 1868 «О создании административной комиссии городского округа Краснотурьинск»,01-01/597 ,2024-08-09,2024-08-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5746,№ 01-01-597.pdf
"О внесении изменений в комплексную программу «Укрепление общественного здоровья населения городского округа Краснотурьинск до 2027года», утвержденную постановлением Администрации городского округа Краснотурьинск от 29.04.2021 № 353 (нормативный)",проект,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5745,Постановление Администрации (нормативное) _О внесении изменений в комплекс...ение .docx
"Об утверждении порядка осмотра объекта индивидуального жилищного строительства или дома блокированной застройки для составления акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства либо реконструкции дома блокированной застройки, осуществляемых с привлечением средств материнского (семейного) капитала, на территории городского округа Краснотурьинск",проект,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5744,Постановление Администрации (ненормативное) _б утверждении порядка осмотра...ого ж.docx
"О внесении изменений постановление Администрации городского округа Краснотурьинск от 12.05.2022 № 01-01/567 «Об утверждении административного регламента предоставления муниципальной услуги «Выдача акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства, осуществляемому с привлечением средств материнского (семейного) капитала»",проект,2024-08-09,2024-08-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5743,Постановление Администрации (нормативное) _ внесении изменений постановлен...дског.docx
"О внесении изменений в единый перечень названий улиц городского округа Краснотурьинск, утвержденный постановлением Главы городского округа Краснотурьинск от 28.03.2007 № 304",01-03/34 ,2024-08-07,2024-08-07,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5742,№ 01-03-34.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 07.02.2023 № 01-01/107 «Об утверждении мест,  на которые запрещается возвращать животных без владельцев, отловленных с территории городского округа Краснотурьинск, и перечня лиц, уполномоченных на принятие решений о возврате животных без владельцев на прежние места обитания»",01-01/592 ,2024-08-07,2024-08-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5741,№ 01-01-592.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 15.06.2023 № 01-01/458 «Об утверждении порядка создания, содержания, охраны и вырубки зеленых насаждений  на территории городского округа Краснотурьинск»",01-01/591,2024-08-07,2024-08-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5740,№ 01-01-591.pdf
